Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0002791,Res,3000,,BIRCH,AVE,,BOULDER,Ranch,Average,1993,"1,008",0,0,0,,0,"7,326",3886493,No,2021-05-14 00:00:00,"$735,900","$919,700",104,39.9943344,-105.25712345
R0005655,Res,3015,,BIRCH,AVE,,BOULDER,Ranch,Average,1980,990,0,0,0,,0,"6,619",3849807,No,2021-01-07 00:00:00,"$580,000","$763,100",104,39.99460485,-105.2567253
R0000503,Res,3025,,BIRCH,AVE,,BOULDER,Ranch,Average,1990,"1,056",0,0,0,,0,"6,208",3890275,No,2021-06-03 00:00:00,"$730,000","$913,900",104,39.994556200000005,-105.25652545
R0007780,Res,250,S,BROADWAY,,,BOULDER,Ranch,Average,1985,"1,261","1,000","1,000",0,,0,"8,125",3895149,No,2021-06-15 00:00:00,"$683,000","$855,000",104,39.989883199999994,-105.25589175520996
R0012572,Res,4500,,BROOKFIELD,DR,,BOULDER,Bi-Level,Average,1995,"1,944",176,0,176,Attached,324,"8,896",3873362,No,2021-03-31 00:00:00,"$1,000,000","$1,289,800",104,39.9796096,-105.24253272132351
R0011541,Res,4550,,BROOKFIELD,DR,,BOULDER,Ranch,Average,2000,"1,026","1,026",923,103,Attached,297,"10,438",3890626,No,2021-06-03 00:00:00,"$1,152,000","$1,442,200",104,39.9796173,-105.24227853418492
R0014765,Res,4555,,BROOKFIELD,DR,,BOULDER,Bi-Level,Average,1990,"1,790",0,0,0,Detached,690,"6,986",3964637,No,2022-05-27 00:00:00,"$1,230,000","$1,230,000",104,39.979969999999994,-105.24219705
R0014369,Res,1425,,BROWN,CIR,,BOULDER,Ranch,Average,1985,"1,204","1,204","1,131",73,Attached,439,"7,737",3780509,No,2020-04-22 00:00:00,"$739,500","$1,064,100",104,39.9736816,-105.2376810750544
R0011507,Res,1487,,BROWN,CIR,,BOULDER,Ranch,Average,1995,"1,050","1,050","1,050",0,Attached,252,"8,199",3831139,No,2020-11-06 00:00:00,"$674,700","$898,900",104,39.9736292,-105.23863825615312
R0009534,Res,1497,,BROWN,CIR,,BOULDER,Bi-Level,Average,1990,"1,672",128,0,128,Attached,264,"8,574",3938154,No,2021-12-23 00:00:00,"$1,050,000","$1,155,100",104,39.97410625,-105.23768891308944
R0014787,Res,1250,,CHAMBERS,DR,,BOULDER,Ranch,Average,1968,"1,344","1,344","1,284",60,Attached,462,"8,117",3974919,No,2022-07-26 00:00:00,"$1,150,000","$1,150,000",104,39.9765047,-105.23712008949276
